Anaxyrus+boreas
Anaxyrus+californicus
Anaxyrus+cognatus
Anaxyrus+compactilis
Anaxyrus+debilis
Anaxyrus+kelloggi
Anaxyrus+mexicanus
Anaxyrus+punctatus
Anaxyrus+retiformis
Anaxyrus+speciosus
Anaxyrus+woodhousii
Incilius+alvarius
Incilius+bocourti
Incilius+canaliferus
Incilius+cavifrons
Incilius+coccifer
Incilius+cristatus
Incilius+cycladen
Incilius+gemmifer
Incilius+intermedius
Incilius+luetkenii
Incilius+macrocristatus
Incilius+marmoreus
Incilius+mazatlanensis
Incilius+mccoyi
Incilius+nebulifer
Incilius+occidentalis
Incilius+perplexus
Incilius+pisinnus
Incilius+spiculatus
Incilius+tacanensis
Incilius+tutelarius
Incilius+valliceps
Rhinella+marina
Hyalinobatrachium+fleischmanni
Craugastor+alfredi
Craugastor+amniscola
Craugastor+augusti
Craugastor+batrachylus
Craugastor+berkenbuschii
Craugastor+brocchi
Craugastor+decoratus
Craugastor+galacticorhinus
Craugastor+glaucus
Craugastor+greggi
Craugastor+guerreroensis
Craugastor+hobartsmithi
Craugastor+laticeps
Craugastor+lineatus
Craugastor+loki
Craugastor+matudai
Craugastor+megalotympanum
Craugastor+mexicanus
Craugastor+montanus
Craugastor+occidentalis
Craugastor+omiltemanus
Craugastor+palenque
Craugastor+pelorus
Craugastor+polymniae
Craugastor+pozo
Craugastor+pygmaeus
Craugastor+rhodopis
Craugastor+rugulosus
Craugastor+rupinius
Craugastor+silvicola
Craugastor+spatulatus
Craugastor+stuarti
Craugastor+tarahumaraensis
Craugastor+taylori
Craugastor+uno
Craugastor+vocalis
Craugastor+vulcani
Craugastor+yucatanensis
Eleutherodactylus+angustidigitorum
Eleutherodactylus+cystignathoides
Eleutherodactylus+dennisi
Eleutherodactylus+dilatus
Eleutherodactylus+dixoni
Eleutherodactylus+grandis
Eleutherodactylus+guttilatus
Eleutherodactylus+interorbitalis
Eleutherodactylus+leprus
Eleutherodactylus+longipes
Eleutherodactylus+marnockii
Eleutherodactylus+maurus
Eleutherodactylus+modestus
Eleutherodactylus+nitidus
Eleutherodactylus+nivicolimae
Eleutherodactylus+pallidus
Eleutherodactylus+pipilans
Eleutherodactylus+planirostris
Eleutherodactylus+rubrimaculatus
Eleutherodactylus+rufescens
Eleutherodactylus+saxatilis
Eleutherodactylus+syristes
Eleutherodactylus+teretistes
Eleutherodactylus+verrucipes
Eleutherodactylus+verruculatus
Acris+crepitans
Agalychnis+callidryas
Agalychnis+moreletii
Anotheca+spinosa
Bromeliohyla+bromeliacia
Bromeliohyla+dendroscarta
Charadrahyla+altipotens
Charadrahyla+chaneque
Charadrahyla+nephila
Charadrahyla+taeniopus
Charadrahyla+tecuani
Charadrahyla+trux
Dendropsophus+ebraccatus
Dendropsophus+microcephalus
Dendropsophus+robertmertensi
Dendropsophus+sartori
Diaglena+spatulata
Duellmanohyla+chamulae
Duellmanohyla+ignicolor
Duellmanohyla+schmidtorum
Ecnomiohyla+echinata
Ecnomiohyla+miotympanum
Ecnomiohyla+valancifer
Exerodonta+abdivita
Exerodonta+bivocata
Exerodonta+chimalapa
Exerodonta+juanitae
Exerodonta+melanomma
Exerodonta+pinorum
Exerodonta+smaragdina
Exerodonta+sumichrasti
Exerodonta+xera
Hyla+arboricola
Hyla+arenicolor
Hyla+euphorbiacea
Hyla+eximia
Hyla+plicata
Hyla+walkeri
Hyla+wrightorum
Megastomatohyla+mixe
Megastomatohyla+mixomaculata
Megastomatohyla+nubicola
Megastomatohyla+pellita
Pachymedusa+dacnicolor
Plectrohyla+acanthodes
Plectrohyla+ameibothalame
Plectrohyla+arborescandens
Plectrohyla+avia
Plectrohyla+bistincta
Plectrohyla+calthula
Plectrohyla+calvicollina
Plectrohyla+celata
Plectrohyla+cembra
Plectrohyla+charadricola
Plectrohyla+chryses
Plectrohyla+crassa
Plectrohyla+cyanomma
Plectrohyla+cyclada
Plectrohyla+ephemera
Plectrohyla+guatemalensis
Plectrohyla+hartwegi
Plectrohyla+hazelae
Plectrohyla+ixil
Plectrohyla+labedactyla
Plectrohyla+lacertosa
Plectrohyla+matudai
Plectrohyla+miahuatlanensis
Plectrohyla+mykter
Plectrohyla+pachyderma
Plectrohyla+pentheter
Plectrohyla+psarosema
Plectrohyla+pycnochila
Plectrohyla+robertsorum
Plectrohyla+sabrina
Plectrohyla+sagorum
Plectrohyla+siopela
Plectrohyla+thorectes
Pseudacris+cadaverina
Pseudacris+clarkii
Pseudacris+regilla
Ptychohyla+acrochorda
Ptychohyla+erythromma
Ptychohyla+euthysanota
Ptychohyla+leonhardschultzei
Ptychohyla+macrotympanum
Ptychohyla+zophodes
Scinax+staufferi
Smilisca+baudinii
Smilisca+cyanosticta
Smilisca+dentata
Smilisca+fodiens
Tlalocohyla+godmani
Tlalocohyla+loquax
Tlalocohyla+picta
Tlalocohyla+smithii
Trachycephalus+venulosus
Triprion+petasatus
Engystomops+pustulosus
Leptodactylus+fragilis
Leptodactylus+melanonotus
Gastrophryne+elegans
Gastrophryne+mazatlanensis
Gastrophryne+olivacea
Gastrophryne+usta
Hypopachus+barberi
Hypopachus+variolosus
Lithobates+berlandieri
Lithobates+brownorum
Lithobates+catesbeianus
Lithobates+chichicuahutla
Lithobates+chiricahuensis
Lithobates+dunni
Lithobates+forreri
Lithobates+johni
Lithobates+lemosespinali
Lithobates+maculatus
