measurementID	occurrenceID	measurementOfTaxon	parentMeasurementID	measurementType	measurementValue	measurementUnit	statisticalMethod	measurementRemarks	source	contributor	referenceID
M1038	C776	TRUE		http://eol.org/schema/terms/HeadBodyLength	55.8	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R148
M1040	C114	TRUE		http://eol.org/schema/terms/HeadBodyLength	39	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R173
M1041	C777	TRUE		http://eol.org/schema/terms/HeadBodyLength	38.1	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R173
M1042	C115	TRUE		http://eol.org/schema/terms/HeadBodyLength	36.9	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R144
M1043	C115	TRUE		http://eol.org/schema/terms/HeadBodyLength	52.1	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R144
M1044	C778	TRUE		http://eol.org/schema/terms/HeadBodyLength	31.4	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R144
M1045	C778	TRUE		http://eol.org/schema/terms/HeadBodyLength	54.4	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R144
M1046	C116	TRUE		http://eol.org/schema/terms/HeadBodyLength	60	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R182
M1047	C117	TRUE		http://eol.org/schema/terms/HeadBodyLength	47.5	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R179
M1048	C117	TRUE		http://eol.org/schema/terms/HeadBodyLength	50	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R179
M1049	C779	TRUE		http://eol.org/schema/terms/HeadBodyLength	46	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R179
M1050	C779	TRUE		http://eol.org/schema/terms/HeadBodyLength	55	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R179
M1051	C118	TRUE		http://eol.org/schema/terms/HeadBodyLength	60.3	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R148
M1052	C118	TRUE		http://eol.org/schema/terms/HeadBodyLength	69	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R148
M1054	C780	TRUE		http://eol.org/schema/terms/HeadBodyLength	73	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R148
M1055	C119	TRUE		http://eol.org/schema/terms/HeadBodyLength	34.8	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R174
M1056	C781	TRUE		http://eol.org/schema/terms/HeadBodyLength	37.2	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R174
M1057	C120	TRUE		http://eol.org/schema/terms/HeadBodyLength	27	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
			M1057	http://eol.org/schema/terms/SampleSize	12					"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	
M1058	C120	TRUE		http://eol.org/schema/terms/HeadBodyLength	38	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
			M1058	http://eol.org/schema/terms/SampleSize	12					"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	
M1060	C782	TRUE		http://eol.org/schema/terms/HeadBodyLength	32	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
			M1060	http://eol.org/schema/terms/SampleSize	3					"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	
M1061	C782	TRUE		http://eol.org/schema/terms/HeadBodyLength	33	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
			M1061	http://eol.org/schema/terms/SampleSize	3					"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	
M1063	C121	TRUE		http://eol.org/schema/terms/HeadBodyLength	29	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R172
M1064	C122	TRUE		http://eol.org/schema/terms/HeadBodyLength	22	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1065	C122	TRUE		http://eol.org/schema/terms/HeadBodyLength	29	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1066	C783	TRUE		http://eol.org/schema/terms/HeadBodyLength	25	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1067	C783	TRUE		http://eol.org/schema/terms/HeadBodyLength	31	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1068	C123	TRUE		http://eol.org/schema/terms/HeadBodyLength	24	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1069	C123	TRUE		http://eol.org/schema/terms/HeadBodyLength	29	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1070	C784	TRUE		http://eol.org/schema/terms/HeadBodyLength	24	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1071	C784	TRUE		http://eol.org/schema/terms/HeadBodyLength	31	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1072	C785	TRUE		http://eol.org/schema/terms/HeadBodyLength	12	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1073	C785	TRUE		http://eol.org/schema/terms/HeadBodyLength	14	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1074	C124	TRUE		http://eol.org/schema/terms/HeadBodyLength	23.3	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R169
M1075	C124	TRUE		http://eol.org/schema/terms/HeadBodyLength	24.7	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R169
M1077	C125	TRUE		http://eol.org/schema/terms/HeadBodyLength	22	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1078	C125	TRUE		http://eol.org/schema/terms/HeadBodyLength	27	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1079	C786	TRUE		http://eol.org/schema/terms/HeadBodyLength	23	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1080	C786	TRUE		http://eol.org/schema/terms/HeadBodyLength	29	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R155
M1081	C126	TRUE		http://eol.org/schema/terms/HeadBodyLength	35	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R181
M1082	C127	TRUE		http://eol.org/schema/terms/HeadBodyLength	40.2	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R151
