occurrenceID	taxonID
C436	T195
C437	T196
C438	T196
C439	T197
C440	T198
C441	T199
C442	T200
C443	T200
C444	T200
C445	T201
C446	T201
C447	T202
C448	T203
C449	T204
C450	T205
C451	T205
C452	T206
C453	T207
C454	T207
C456	T208
C457	T209
C458	T210
C459	T211
C460	T213
C461	T214
C462	T214
C463	T215
C464	T216
C465	T217
C466	T218
C467	T219
C468	T218
C469	T220
C470	T221
C471	T222
C472	T223
C473	T224
C474	T224
C475	T225
C476	T225
C477	T225
C478	T226
C479	T227
C480	T227
C481	T228
C482	T229
C483	T229
C484	T230
C485	T231
C486	T232
C487	T233
C488	T233
C489	T234
C490	T234
C491	T234
C492	T235
C493	T236
C494	T237
C495	T238
C496	T239
C497	T239
C498	T240
C499	T240
C500	T241
C501	T242
C502	T243
C503	T243
C504	T244
C505	T245
C506	T245
C507	T245
C508	T245
C509	T246
C510	T246
C511	T246
C512	T247
C513	T248
C514	T248
C515	T249
C516	T249
C517	T250
C518	T251
C519	T252
C520	T252
C521	T252
C522	T252
C523	T253
C524	T254
C525	T254
C526	T255
C527	T256
C528	T257
C529	T258
C530	T258
C531	T258
C532	T259
C533	T260
C534	T261
C535	T262
C536	T262
C537	T263
C538	T264
C539	T264
C540	T265
C541	T266
C542	T266
C543	T266
C544	T266
C545	T267
C546	T267
C547	T267
C548	T268
C549	T268
C550	T268
C551	T268
C552	T269
C553	T270
C554	T271
C555	T272
C556	T273
C557	T274
C558	T275
C559	T276
C560	T276
C561	T277
C562	T277
C563	T277
C564	T278
C565	T279
C566	T279
C567	T279
C568	T280
C569	T280
C570	T280
C571	T281
C572	T282
C573	T282
C574	T282
C575	T283
C576	T283
C577	T284
C578	T285
C579	T285
C580	T286
C581	T287
C582	T287
C583	T288
C584	T289
C585	T290
C586	T291
C587	T291
C588	T292
C589	T293
C590	T294
C591	T295
C592	T295
C593	T296
C594	T296
C595	T297
C596	T298
C597	T299
C598	T299
C599	T300
C600	T301
C601	T301
C602	T302
C603	T303
C604	T303
C605	T304
C606	T305
C607	T306
C608	T306
C609	T306
C610	T307
C611	T307
C612	T307
C613	T308
C614	T308
