occurrenceID	taxonID	country	
C191	T263		
C192	T264		
C193	T265	http://www.geonames.org/3996063	
C194	T265		
C195	T274		
C196	T284	http://www.geonames.org/3595528	
C197	T286	http://www.geonames.org/3996063	
C198	T288	http://www.geonames.org/3996063	
C199	T294	http://www.geonames.org/3996063	
C200	T295	http://www.geonames.org/3996063	
C201	T297		
C202	T298		
C203	T300	http://www.geonames.org/3996063	
C204	T302		
C205	T303		
C206	T306	http://www.geonames.org/3996063	
C207	T310	http://www.geonames.org/3996063	
C208	T311	http://www.geonames.org/3996063	
C209	T312	http://www.geonames.org/3996063	
C210	T313	http://www.geonames.org/3996063	
C211	T314	http://www.geonames.org/3996063	
C212	T315	http://www.geonames.org/3996063	
C213	T318	http://www.geonames.org/3996063	
C214	T320	http://www.geonames.org/3996063	
C215	T321	http://www.geonames.org/3996063	
C216	T322	http://www.geonames.org/3996063	
C217	T323		
C218	T327	http://www.geonames.org/3996063	
C219	T328		
C220	T330	http://www.geonames.org/3996063	
C221	T332		
C222	T334	http://www.geonames.org/3996063	
C223	T336	http://www.geonames.org/3996063	
C224	T339	http://www.geonames.org/3996063	
C225	T340	http://www.geonames.org/3996063	
C226	T341		
C227	T342		
C228	T343	http://www.geonames.org/3996063	
C229	T345	http://www.geonames.org/3996063	
C230	T346	http://www.geonames.org/3996063	
C231	T347		
C232	T348	http://www.geonames.org/3996063	
C233	T349	http://www.geonames.org/3996063	
C234	T350	http://www.geonames.org/3996063	
C235	T351	http://www.geonames.org/3996063	
C236	T352	http://www.geonames.org/3996063	
C237	T353	http://www.geonames.org/3996063	
C238	T355	http://www.geonames.org/3996063	
C239	T356	http://www.geonames.org/3996063	
C240	T357	http://www.geonames.org/3996063	
C241	T358	http://www.geonames.org/3996063	
C242	T360	http://www.geonames.org/3996063	
C243	T361		
C244	T363		
C245	T365		
C246	T366	http://www.geonames.org/6252001	
C247	T376	http://www.geonames.org/3996063	
C248	T377		
C249	T378	http://www.geonames.org/3996063	
C250	T382	http://www.geonames.org/3996063	
C251	T384	http://www.geonames.org/3996063	
C252	T388	http://www.geonames.org/3996063	
C253	T389	http://www.geonames.org/3996063	
C254	T392	http://www.geonames.org/3996063	
C255	T393	http://www.geonames.org/3996063	
C256	T394	http://www.geonames.org/3996063	
C257	T105	http://www.geonames.org/3996063	
C258	T110		
C259	T114		
C260	T115		
C261	T145	http://www.geonames.org/3996063	
C262	T203		
C263	T233		
C264	T236	http://www.geonames.org/3996063	
C265	T238	http://www.geonames.org/3996063	
C266	T239	http://www.geonames.org/3996063	
C267	T240		
C268	T247	http://www.geonames.org/3996063	
C269	T249	http://www.geonames.org/3996063	
C270	T253		
C271	T255		
C272	T260	http://www.geonames.org/3996063	
C273	T269	http://www.geonames.org/3996063	
C274	T270	http://www.geonames.org/3624060	
C275	T273	http://www.geonames.org/3996063	
C276	T275		
C277	T276	http://www.geonames.org/3996063	
C278	T278	http://www.geonames.org/3996063	
C279	T281	http://www.geonames.org/3996063	
C280	T289		
C281	T293		
C282	T287	http://www.geonames.org/3996063	
C283	T305		
C284	T359		
C285	T379	http://www.geonames.org/3996063	
C286	T399	http://www.geonames.org/3996063	
C287	T124	http://www.geonames.org/3595528	
C288	T127	http://www.geonames.org/3595528	
C289	T133	http://www.geonames.org/3595528	
C290	T326	http://www.geonames.org/3595528	
C291	T100		
C292	T102		
C293	T100		
C294	T100		
C295	T100		
C296	T100		
C297	T100		
C298	T100		
C299	T101		
C300	T101		
C301	T101		
C302	T101		
C303	T104		
C304	T104		
C305	T102		
C306	T102		
C307	T102		
C308	T106		
C309	T106		
C310	T107		
C311	T108		
C312	T108		
C313	T108		
C314	T108		
C315	T108		
C316	T109		
C317	T109		
C318	T109		
C319	T111		
C320	T111		
C321	T111		
C322	T111		
C323	T111		
C324	T111		
C325	T111		
C326	T111		
C327	T112		
C328	T112		
C329	T112		
C330	T115		
C331	T115		
C332	T115		
C333	T116		
C334	T116		
C335	T117		
C336	T117		
C337	T118		
C338	T118		
C339	T119		
C340	T119		
C341	T120		
C342	T120		
C343	T120		
C344	T121		
C345	T121		
C346	T121		
C347	T122	http://www.geonames.org/3996063	
C348	T122		
C349	T123		
C350	T123		
C351	T123		
C352	T124		
C353	T125		
C354	T126		
C355	T127		
C356	T128		
C357	T129		
C358	T130		
C359	T131		
C360	T132		
C361	T132		
C362	T132		
C363	T133		
C364	T134		
C365	T135		
C366	T136		
C367	T136		
C368	T137		
C369	T138		
C370	T139		
C371	T140		
C372	T141		
C373	T142		
C374	T142		
C375	T143		
C376	T144		
C377	T145		
C378	T146		
C379	T147		
C380	T148		
C381	T149		
C382	T150		
C383	T151		
C384	T152		
C385	T153		
C386	T153		
C387	T154		
C388	T154		
C389	T155		
C390	T156		
C391	T157		
C392	T158		
C393	T159		
C394	T159		
C395	T160		
C396	T160		
C397	T162		
C398	T163		
C399	T164		
C400	T165		
C401	T166		
C402	T167		
C403	T168		
C404	T169		
C405	T170		
C406	T171		
C407	T172		
C408	T173		
C409	T174		
C410	T175		
C411	T176		
C412	T177		
C413	T177		
C414	T178		
C415	T179	http://www.geonames.org/3996063	
C416	T179		
C417	T180		
C418	T181		
C419	T182		
C420	T183		
C421	T183		
C422	T184		
C423	T185		
C424	T186		
C425	T187		
C426	T188	http://www.geonames.org/3996063	
C427	T188		
C428	T189		
C429	T190		
C430	T191	http://www.geonames.org/3996063	
C431	T191		
C432	T192	http://www.geonames.org/3996063	
C433	T192		
C434	T193		
C435	T194		
C436	T195		
C437	T196		
C438	T196		
C439	T197		
C440	T198		
C441	T199		
C442	T200		
C443	T200		
C444	T200		
C445	T201		
C446	T201		
C447	T202		
C448	T203		
C449	T204		
C450	T205		
C451	T205		
C452	T206		
C453	T207		
C454	T207		
C456	T208		
C457	T209		
C458	T210		
C459	T211		
C460	T213		
C461	T214		
C462	T214		
C463	T215		
C464	T216		
C465	T217		
C466	T218		
C467	T219		
C468	T218		
C469	T220		
C470	T221		
C471	T222		
C472	T223		
C473	T224		
C474	T224		
C475	T225		
C476	T225		
C477	T225		
C478	T226		
C479	T227		
C480	T227	http://www.geonames.org/3996063	
C481	T228		
C482	T229		
C483	T229	http://www.geonames.org/3996063	
C484	T230		
C485	T231		
C486	T232		
C487	T233		
C488	T233		
C489	T234		
C490	T234		
C491	T234		
C492	T235		
C493	T236		
C494	T237		
C495	T238		
C496	T239		
C497	T239		
C498	T240		
C499	T240		
C500	T241		
C501	T242		
C502	T243		
C503	T243		
C504	T244		
C505	T245		
C506	T245		
C507	T245		
C508	T245		
C509	T246		
C510	T246		
C511	T246		
C512	T247		
C513	T248		
C514	T248		
C515	T249		
C516	T249		
C517	T250		
C518	T251		
C519	T252		
C520	T252		
C521	T252		
C522	T252		
C523	T253		
C524	T254		
C525	T254	http://www.geonames.org/3996063	
C526	T255		
C527	T256		
C528	T257		
C529	T258		
C530	T258		
C531	T258		
C532	T259		
C533	T260		
C534	T261		
C535	T262		
C536	T262	http://www.geonames.org/3996063	
C537	T263		
C538	T264		
C539	T264		
C540	T265		
C541	T266		
C542	T266		
C543	T266		
C544	T266		
C545	T267		
C546	T267		
C547	T267		
C548	T268		
C549	T268		
C550	T268		
C551	T268		
C552	T269		
C553	T270		
C554	T271		
C555	T272		
C556	T273		
C557	T274		
C558	T275		
C559	T276		
C560	T276		
C561	T277		
C562	T277		
C563	T277		
C564	T278		
C565	T279		
C566	T279		
C567	T279		
C568	T280		
C569	T280		
C570	T280		
C571	T281		
C572	T282		
C573	T282		
C574	T282		
C575	T283		
C576	T283		
C577	T284		
C578	T285		
C579	T285		
C580	T286		
C581	T287		
C582	T287		
C583	T288		
C584	T289		
C585	T290		
C586	T291		
C587	T291	http://www.geonames.org/3996063	
C588	T292		
C589	T293		
C590	T294		
C591	T295		
C592	T295		
C593	T296		
C594	T296	http://www.geonames.org/3996063	
C595	T297		
C596	T298		
C597	T299		
C598	T299		
C599	T300		
C600	T301		
C601	T301		
C602	T302		
C603	T303		
C604	T303		
C605	T304		
C606	T305		
C607	T306		
C608	T306		
C609	T306		
C610	T307		
C611	T307		
C612	T307		
C613	T308		
C614	T308		
C615	T308		
C616	T309		
C617	T309		
C618	T309		
C617	T310		
C618	T311		
C619	T312		
C620	T313		
C621	T314		
C622	T315		
C623	T316		
C624	T316		
C625	T316		
C626	T317	http://www.geonames.org/3996063	
C627	T318		
C628	T319		
C629	T319		
C630	T320		
